date,sun_h,min_temp,max_temp,delta_temp
1986-10-16,5.208974358974359,7.973333333333333,17.09333333333333,9.119999999999997
1986-10-17,1.9884615384615385,7.04,13.179999999999998,6.139999999999998
1986-10-18,3.1769230769230767,7.153333333333334,14.106666666666666,6.953333333333331
1986-10-19,0.31794871794871793,7.0200000000000005,14.326666666666666,7.306666666666666
1986-10-20,2.0205128205128204,7.219999999999999,16.453333333333333,9.233333333333334
1986-10-21,3.646153846153846,5.74,13.886666666666667,8.146666666666667
1986-10-22,1.126923076923077,9.68,16.886666666666667,7.206666666666667
1986-10-23,3.332051282051282,5.753333333333332,13.453333333333335,7.700000000000003
1986-10-24,7.029487179487179,4.206666666666667,11.313333333333333,7.106666666666666
1986-10-25,0.21025641025641026,4.6866666666666665,11.233333333333333,6.546666666666666
1986-10-26,2.6435897435897435,3.52,9.693333333333333,6.173333333333334
1986-10-27,6.279487179487179,1.5399999999999996,10.653333333333336,9.113333333333337
1986-10-28,4.369230769230769,0.11333333333333331,10.860000000000003,10.74666666666667
1986-10-29,0.03333333333333333,4.24,9.540000000000001,5.300000000000001
1986-10-30,1.5653846153846154,5.493333333333333,10.906666666666666,5.413333333333333
1986-10-31,7.046153846153846,4.239999999999999,12.419999999999998,8.18
1986-11-01,0.006410256410256411,5.126666666666666,11.220000000000002,6.093333333333336
1986-11-02,0.025641025641025644,4.16,10.026666666666667,5.866666666666667
1986-11-03,4.633333333333334,1.54,8.213333333333335,6.673333333333335
1986-11-04,5.328205128205128,-0.6333333333333335,7.526666666666668,8.160000000000002
1986-11-05,5.014102564102564,-0.7866666666666667,7.633333333333332,8.419999999999998
1986-11-06,2.778205128205128,3.0733333333333333,10.586666666666668,7.5133333333333345
1986-11-07,5.707692307692308,2.353333333333333,11.313333333333333,8.959999999999999
1986-11-08,6.291025641025641,1.5666666666666667,12.253333333333332,10.686666666666666
1986-11-09,2.735897435897436,2.533333333333333,9.859999999999998,7.326666666666664
1986-11-10,6.347435897435898,1.52,11.826666666666664,10.306666666666665
1986-11-11,5.687179487179487,1.6800000000000002,10.960000000000003,9.280000000000003
1986-11-12,5.658974358974359,2.073333333333333,11.38,9.306666666666668
1986-11-13,3.1423076923076922,1.7200000000000002,11.22,9.5
1986-11-14,0.011538461538461537,5.7733333333333325,11.299999999999999,5.526666666666666
1986-11-15,0.6192307692307693,5.366666666666668,13.466666666666665,8.099999999999998
1986-11-16,4.26025641025641,4.953333333333333,12.360000000000001,7.406666666666668
1986-11-17,0.7384615384615384,5.766666666666666,11.933333333333334,6.166666666666668
1986-11-18,4.735897435897436,3.339999999999999,10.293333333333331,6.953333333333332
1986-11-19,2.0807692307692305,1.4799999999999998,9.686666666666666,8.206666666666665
1986-11-20,0.04871794871794872,2.7266666666666666,9.786666666666667,7.0600000000000005
1986-11-21,1.837179487179487,4.3133333333333335,8.493333333333332,4.179999999999999
1986-11-22,0.23205128205128206,5.026666666666667,10.046666666666669,5.020000000000001
1986-11-23,0.12179487179487179,2.0266666666666664,7.713333333333333,5.6866666666666665
1986-11-24,5.174358974358975,1.0466666666666666,7.8933333333333335,6.846666666666667
1986-11-25,6.819230769230769,0.24666666666666662,8.919999999999998,8.673333333333332
1986-11-26,5.841025641025641,0.5333333333333333,9.7,9.166666666666666
